Name,Email,Password
Freelancing Mentor,mentor_freelancing@seed.local,Mentor@123
Digital Marketing Mentor,mentor_digital_marketing@seed.local,Mentor@123
E-Commerce Mentor,mentor_ecommerce@seed.local,Mentor@123
Graphic Design Mentor,mentor_graphic_design@seed.local,Mentor@123
SEO Mentor,mentor_seo@seed.local,Mentor@123
WordPress Mentor,mentor_wordpress@seed.local,Mentor@123
Virtual Assistant Mentor,mentor_virtual_assistant@seed.local,Mentor@123
Creative Writing Mentor,mentor_creative_writing@seed.local,Mentor@123
Data Analytics Mentor,mentor_data_analytics@seed.local,Mentor@123
Video Editing Mentor,mentor_video_editing@seed.local,Mentor@123
AutoCAD Mentor,mentor_autocad@seed.local,Mentor@123
Affiliate Marketing Mentor,mentor_affiliate_marketing@seed.local,Mentor@123
Communication Mentor,mentor_soft_skills@seed.local,Mentor@123
QuickBooks Mentor,mentor_quickbooks@seed.local,Mentor@123
Startup Strategies Mentor,mentor_startup@seed.local,Mentor@123
Digital Literacy Mentor,mentor_digital_literacy@seed.local,Mentor@123
Web Development Mentor,mentor_web_dev@seed.local,Mentor@123
Frontend Mentor,mentor_frontend@seed.local,Mentor@123
Backend Mentor,mentor_backend@seed.local,Mentor@123
Mobile App Mentor,mentor_mobile@seed.local,Mentor@123
Python Mentor,mentor_python@seed.local,Mentor@123
JavaScript Mentor,mentor_js@seed.local,Mentor@123
Java Mentor,mentor_java@seed.local,Mentor@123
C# Mentor,mentor_csharp@seed.local,Mentor@123
PHP Mentor,mentor_php@seed.local,Mentor@123
React Mentor,mentor_react@seed.local,Mentor@123
Node Mentor,mentor_node@seed.local,Mentor@123
Database Mentor,mentor_database@seed.local,Mentor@123
Software Engineering Mentor,mentor_software_eng@seed.local,Mentor@123
Cloud Mentor,mentor_cloud@seed.local,Mentor@123
DevOps Mentor,mentor_devops@seed.local,Mentor@123
Machine Learning Mentor,mentor_ml_ai@seed.local,Mentor@123
Cybersecurity Mentor,mentor_cyber@seed.local,Mentor@123
Game Development Mentor,mentor_game_dev@seed.local,Mentor@123
Blockchain Mentor,mentor_blockchain@seed.local,Mentor@123
UI UX Mentor,mentor_uiux@seed.local,Mentor@123
